1.2.47.5	aas	b2836	Z4154	ECs3693	
1.5.9.1	apaG	b0050	Z0059	ECs0055	
1.3.9.1	apaH	b0049	Z0058	ECs0054	
1.3.39.1	apbA	b0425	Z0528	ECs0479	
1.10.35.7	aphA	b4055	Z5654	ECs5037	
1.10.17.2	appA	b0980	Z1397	ECs1136	
1.8.17.2	appB	b0979	Z1396	ECs1135	
1.6.17.2	appC	b0978	Z1395	ECs1134	
1.4.12.2	appY	b0564			
1.5.12.2	apt	b0469	Z0586	ECs0522	
1.3.46.2	aqpZ	b0875	Z1109	ECs0961	
1.5.11.1	araA	b0062	Z0070	ECs0066	
1.7.11.1	araB	b0063	Z0072	ECs0067	
1.9.11.1	araC	b0064	Z0073	ECs0068	
1.3.11.1	araD	b0061	Z0069	ECs0065	
1.12.47.5	araE	b2841	Z4161	ECs3698	
1.9.42.3	araF	b1901	Z2954	ECs2609	
1.7.42.3	araG	b1900	Z2953	ECs2608	
1.5.42.3	araH_1	b1899			
1.3.42.3	araH_2	b1898	Z2951	ECs2606	
1.5.49.1	araJ	b0396	Z0494	ECs0446	
1.10.26.8	arcA	b4401	Z6004	ECs5359	
1.12.12.6	arcB	b3210	Z4574	ECs4089	
1.4.39.1	arcC	b0521	Z0676	ECs0583	
1.11.10.6	argA	b2818	Z4135	ECs3675	
1.7.37.7	argB	b3959	Z5517	ECs4888	
1.5.37.7	argC	b3958	Z5516	ECs4887	
1.10.21.6	argD	b3359	Z4720	ECs4210	
1.3.37.7	argE	b3957	Z5515	ECs4886	
1.8.14.1	argF	b0273			
1.7.22.6	argG	b3172	Z4534	ECs4052	
1.9.37.7	argH	b3960	Z5518	ECs4889	
1.7.3.8	argI	b4254	Z5866	ECs5231	
1.6.32.6	argR	b3237	Z4596	ECs4110	
1.7.38.3	argS	b1876	Z2929	ECs2586	
1.11.43.4	argT	b2310	Z3572	ECs3194	
1.10.20.2	aroA	b0908	Z1254	ECs0991	
1.10.41.6	aroB	b3389	Z4742	ECs4231	
1.3.13.5	aroC	b2329	Z3592	ECs3213	
1.10.4.4	aroD	b1693	Z2721	ECs2400	
1.8.38.6	aroE	b3281	Z4652	ECs4147	
1.2.26.5	aroF	b2601	Z3893	ECs3464	
1.11.44.1	aroG	b0754	Z0924	ECs0782	
1.8.6.4	aroH	b1704	Z2733	ECs2411	
1.12.41.6	aroK	b3390	Z4743	ECs4232	
1.11.32.1	aroL	b0388	Z0484	ECs0438	
1.5.33.1	aroM	b0390	Z0486	ECs0440	
1.12.3.1	aroP	b0112	Z0122	ECs0116	
1.6.29.7	arp	b4017	Z5608	ECs4935	
1.11.44.6	arsB	b3502	Z4904	ECs4374	
1.1.11.7	arsC	b3503	Z4905	ECs4375	
1.9.44.6	arsR	b3501			
1.3.44.2	artI	b0863	Z1093	ECs0946	
1.9.28.2	artJ	b0860	Z1090	ECs0943	
1.11.28.2	artM	b0861	Z1091	ECs0944	
1.5.44.2	artP	b0864	Z1094	ECs0947	
1.1.44.2	artQ	b0862	Z1092	ECs0945	
1.3.28.5	ascB	b2716	Z4024	ECs3572	
1.1.28.5	ascF	b2715	Z4023	ECs3571	
1.11.12.5	ascG	b2714	Z4022	ECs3570	
1.3.33.6	asd	b3433	Z4797	ECs4278	
1.1.12.7	aslA	b3801	Z5314	ECs4731	
1.11.45.6	aslB	b3800	Z5313	ECs4730	
1.10.18.4	asmA	b2064	Z3232	ECs2871	
1.4.20.7	asnA	b3744	Z5245	ECs4686	
1.8.48.1	asnB	b0674	Z0821	ECs0704	
1.2.20.7	asnC	b3743	Z5244	ECs4685	
1.6.24.2	asnS	b0930	Z1278	ECs1013	
1.10.34.7	aspA	b4139	Z5744	ECs5120	
1.2.24.2	aspC	b0928	Z1275	ECs1011	
1.11.36.3	aspS	b1866	Z2919	ECs2576	
1.11.4.4	asr	b1597	Z2591	ECs2303	
1.2.45.4	atoA	b2222			
1.6.45.4	atoB	b2224			
1.10.29.4	atoC	b2220			
1.12.29.4	atoD	b2221			
1.4.45.4	atoE	b2223			
1.8.29.4	atoS	b2219			
1.8.18.7	atpA	b3734	Z5232	ECs4676	
1.4.4.7	atpB	b3738	Z5236	ECs4680	
1.2.18.7	atpC	b3731	Z5229	ECs4673	
1.4.18.7	atpD	b3732	Z5230	ECs4674	
1.2.4.7	atpE	b3737	Z5235	ECs4679	
1.12.18.7	atpF	b3736	Z5234	ECs4678	
1.6.18.7	atpG	b3733	Z5231	ECs4675	
1.10.18.7	atpH	b3735	Z5233	ECs4677	
1.6.4.7	atpI	b3739	Z5238	ECs4681	
1.5.7.7	avtA	b3572	Z4997	ECs4455	
1.11.1.1	b0005	b0005			
1.11.17.1	b0011	b0011	Z0011	ECs0012	
1.1.5.1	b0024	b0024	Z0028	ECs0027	
1.12.1.1	b0100	b0100	Z0110	ECs0104	
1.10.17.1	b0105	b0105			
1.10.27.1	b0165	b0165			
1.6.8.1	b0235	b0235	Z0296	ECs0262	
1.12.24.1	b0245	b0245			
1.12.26.1	b0257	b0257			
1.12.12.1	b0263	b0263			
1.11.2.1	b0298	b0298			
1.7.18.1	b0302	b0302	Z0379	ECs0339	
1.9.4.1	b0309	b0309	Z0387	ECs0347	
1.7.8.1	b0332	b0332			
1.1.28.1	b0359	b0359			
1.7.28.1	b0362	b0362			
1.11.14.1	b0370	b0370			
1.5.30.1	b0373	b0373			
1.5.16.1	b0379	b0379	Z0475	ECs0429	
1.7.16.1	b0380	b0380	Z0476	ECs0430	
1.9.33.1	b0392	b0392	Z0489	ECs0442	
1.3.49.1	b0395	b0395			
1.8.35.1	b0499	b0499	Z0651	ECs0560	
1.12.35.1	b0501	b0501	Z0654	ECs0562	
1.2.2.2	b0502	b0502	Z0656	ECs0563	
1.12.41.1	b0538	b0538		ECs1612	
1.2.8.2	b0539	b0539			
1.4.8.2	b0540	b0540			
1.8.8.2	b0542	b0542		ECs1613	
1.12.38.1	b0609	b0609	Z0753	ECs0648	
1.12.13.2	b0663	b0663		ECs0701	
1.2.48.1	b0667	b0667		ECs0702	
1.4.48.1	b0669	b0669		ECs0703	
1.6.48.1	b0671	b0671			
1.3.3.2	b0701	b0701	Z0848		
1.7.3.2	b0703	b0703	Z0851	ECs0729	
1.3.7.2	b0725	b0725	Z0879	ECs0750	
1.9.44.1	b0753	b0753	Z0923	ECs0781	
1.3.46.1	b0762	b0762	Z0932	ECs0790	
1.11.32.2	b0795	b0795	Z1015	ECs0873	
1.7.34.2	b0805	b0805	Z1026	ECs0883	
1.5.36.2	b0816	b0816			
1.7.36.2	b0817	b0817	Z1039	ECs0894	
1.5.22.2	b0822	b0822	Z1044	ECs0899	
1.7.38.2	b0829	b0829	Z1053	ECs0908	
1.9.38.2	b0830	b0830	Z1054	ECs0909	
1.11.38.2	b0831	b0831	Z1055	ECs0910	
1.1.24.2	b0832	b0832	Z1056	ECs0911	
1.3.24.2	b0833	b0833	Z1057	ECs0912	
1.5.24.2	b0834	b0834	Z1058	ECs0913	
1.9.24.2	b0836	b0836	Z1062	ECs0916	
1.1.26.2	b0844	b0844	Z1071	ECs0924	
1.3.26.2	b0845	b0845	Z1072	ECs0925	
1.5.26.2	b0846	b0846	Z1073	ECs0926	
1.7.26.2	b0847	b0847	Z1074	ECs0927	
1.9.44.2	b0866	b0866			
1.11.44.2	b0867	b0867	Z1100	ECs0953	
1.1.30.2	b0868	b0868	Z1102	ECs0954	
1.9.30.2	b0872	b0872	Z1106	ECs0958	
1.9.46.2	b0878	b0878	Z1115	ECs0964	
1.4.34.2	b0899	b0899	Z1245	ECs0984	
1.8.22.2	b0919	b0919	Z1265	ECs1002	
1.4.26.2	b0941	b0941	Z1290	ECs1025	
1.6.26.2	b0942	b0942	Z1291	ECs1026	
1.8.26.2	b0943	b0943	Z1292	ECs1027	
1.4.42.2	b0947	b0947	Z1297	ECs1031	
1.8.28.2	b0955	b0955	Z1305	ECs1039	
1.4.44.2	b0959	b0959	Z1309	ECs1043	
1.6.44.2	b0960	b0960	Z1311	ECs1044	
1.2.30.2	b0964	b0964	Z1315	ECs1048	
1.4.30.2	b0965	b0965	Z1317	ECs1049	
1.8.30.2	b0967	b0967	Z1319	ECs1051	
1.10.30.2	b0968	b0968	Z1320	ECs1052	
1.4.37.2	b1007	b1007	Z1506	ECs1253	
1.6.37.2	b1008	b1008	Z1507	ECs1254	
1.8.37.2	b1009	b1009	Z1508	ECs1255	
1.10.37.2	b1010	b1010	Z1509	ECs1256	
1.12.37.2	b1011	b1011	Z1510	ECs1257	
1.2.23.2	b1012	b1012	Z1511	ECs1258	
1.10.23.2	b1016	b1016	Z1519	ECs1263	
1.12.23.2	b1017	b1017			
1.8.25.2	b1027	b1027			
1.10.25.2	b1028	b1028	Z1557	ECs1297	
1.2.41.2	b1030	b1030			
1.4.43.2	b1044	b1044	Z1678	ECs1422	
1.6.43.2	b1045	b1045	Z1679	ECs1423	
1.8.29.2	b1052	b1052	Z1687	ECs1430	
1.6.45.2	b1057	b1057	Z1693	ECs1435	
1.3.19.2	b1085	b1085	Z1724	ECs1463	
1.3.25.2	b1121	b1121			
1.5.27.2	b1134	b1134	Z1863	ECs1606	
1.7.43.2	b1141	b1141			
1.3.29.2	b1145	b1145			
1.5.29.2	b1146	b1146			
1.5.45.2	b1152	b1152			
1.7.45.2	b1153	b1153			
1.11.45.2	b1155	b1155			
1.3.31.2	b1157	b1157			
1.3.47.2	b1163	b1163			
1.3.48.2	b1168	b1168			
1.5.48.2	b1169	b1169			
1.7.48.2	b1170	b1170			
1.9.48.2	b1171	b1171			
1.11.48.2	b1172	b1172			
1.1.15.3	b1173	b1173			
1.3.1.3	b1180	b1180	Z1942	ECs1675	
1.1.3.3	b1191	b1191	Z1954	ECs1686	
1.3.3.3	b1192	b1192	Z1955	ECs1688	
1.5.19.3	b1199	b1199	Z1970	ECs1704	
1.7.19.3	b1200	b1200	Z1971	ECs1705	
1.9.19.3	b1201	b1201			
1.11.19.3	b1202	b1202	Z1972	ECs1707	
1.9.21.3	b1213	b1213	Z1984	ECs1718	
1.3.9.3	b1228	b1228			
1.11.25.3	b1240	b1240			
1.3.27.3	b1248	b1248	Z2024	ECs1748	
1.6.17.3	b1284	b1284	Z2521	ECs1857	
1.8.19.3	b1297	b1297	Z2491	ECs1874	
1.10.21.3	b1310	b1310	Z2473	ECs1889	
1.6.7.3	b1314	b1314	Z2469	ECs1893	
1.8.9.3	b1327	b1327	Z2442	ECs1909	
1.12.9.3	b1329	b1329	Z2438	ECs1911	
1.2.25.3	b1330	b1330	Z2437	ECs1912	
1.4.11.3	b1337	b1337	Z2427	ECs1921	
1.12.11.3	b1341	b1341	Z2421	ECs1925	
1.2.27.3	b1342	b1342	Z2419	ECs1926	
1.8.27.3	b1345	b1345	Z2415	ECs1929	
1.2.29.3	b1354	b1354	Z2403	ECs1938	
1.4.29.3	b1355	b1355	Z2402	ECs1940	
1.4.49.2	b1360	b1360	Z2396	ECs1945	
1.8.49.2	b1362	b1362			
1.12.49.2	b1364	b1364			
1.2.16.3	b1365	b1365			
1.6.16.3	b1367	b1367			
1.8.16.3	b1368	b1368			
1.10.16.3	b1369	b1369			
1.2.2.3	b1371	b1371			
1.4.2.3	b1372	b1372			
1.8.2.3	b1374	b1374			
1.2.18.3	b1377	b1377	Z2333	ECs1999	
1.6.20.3	b1391	b1391			
1.8.20.3	b1392	b1392			
1.12.20.3	b1394	b1394			
1.4.6.3	b1396	b1396			
1.6.6.3	b1397	b1397			
1.8.6.3	b1398	b1398			
1.10.6.3	b1399	b1399			
1.12.6.3	b1400	b1400			
1.4.8.3	b1408	b1408	Z2319	ECs2010	
1.6.8.3	b1409	b1409	Z2318	ECs2011	
1.8.8.3	b1410	b1410	Z2317	ECs2012	
1.4.10.3	b1420	b1420	Z2301	ECs2025	
1.8.10.3	b1422	b1422	Z2299	ECs2027	
1.10.10.3	b1423	b1423	Z2296	ECs2028	
1.2.26.3	b1425	b1425	Z2293	ECs2030	
1.8.26.3	b1428	b1428	Z2290	ECs2033	
1.2.12.3	b1431	b1431	Z2287	ECs2036	
1.4.12.3	b1432	b1432	Z3664	ECs3276	
1.6.12.3	b1433	b1433	Z2286	ECs2038	
1.12.12.3	b1436	b1436	Z2283	ECs2040	
1.2.28.3	b1437	b1437	Z2282	ECs2041	
1.4.28.3	b1438	b1438	Z2281	ECs2042	
1.6.28.3	b1439	b1439	Z2280	ECs2043	
1.8.28.3	b1440	b1440	Z2279	ECs2044	
1.10.28.3	b1441	b1441	Z2278	ECs2045	
1.12.28.3	b1442	b1442	Z2277	ECs2046	
1.2.14.3	b1443	b1443	Z2276	ECs2047	
1.4.14.3	b1444	b1444	Z2275	ECs2048	
1.6.14.3	b1445	b1445	Z2274	ECs2049	
1.8.14.3	b1446	b1446	Z2273	ECs2050	
1.10.14.3	b1447	b1447	Z2272	ECs2051	
1.12.14.3	b1448	b1448	Z2271	ECs2052	
1.4.30.3	b1450	b1450	Z2269	ECs2054	
1.6.30.3	b1451	b1451	Z2268	ECs2055	
1.8.30.3	b1452	b1452	Z2267	ECs2056	
1.12.30.3	b1454	b1454	Z2265	ECs2058	
1.3.49.2	b1455	b1455	Z2264	ECs2059	
1.9.49.2	b1458	b1458	Z0275	ECs0245	
1.11.49.2	b1459	b1459			
1.5.16.3	b1462	b1462	Z2251	ECs2065	
1.7.16.3	b1463	b1463	Z2250	ECs2066	
1.9.2.3	b1470	b1470	Z2242	ECs2073	
1.11.2.3	b1471	b1471			
1.1.18.3	b1472	b1472	Z2239	ECs2076	
1.7.4.3	b1481	b1481	Z2229	ECs2085	
1.11.4.3	b1483	b1483	Z2227	ECs2087	
1.1.20.3	b1484	b1484	Z2226	ECs2088	
1.3.20.3	b1485	b1485	Z2225	ECs2089	
1.5.20.3	b1486	b1486	Z2224	ECs2090	
1.7.20.3	b1487	b1487	Z2223	ECs2091	
1.9.20.3	b1488	b1488	Z2222	ECs2092	
1.11.20.3	b1489	b1489	Z2221	ECs2093	
1.1.6.3	b1490	b1490	Z2219	ECs2095	
1.3.6.3	b1491	b1491	Z2217	ECs2096	
1.3.22.3	b1497	b1497	Z2211	ECs2102	
1.5.22.3	b1498	b1498	Z2210	ECs2103	
1.7.22.3	b1499	b1499	Z2209	ECs2104	
1.9.22.3	b1500	b1500	Z2208	ECs2105	
1.11.22.3	b1501	b1501	Z2207	ECs2106	
1.1.8.3	b1502	b1502	Z2206	ECs2107	
1.3.8.3	b1503	b1503	Z2205	ECs2108	
1.5.8.3	b1504	b1504	Z2204	ECs2109	
1.7.8.3	b1505	b1505	Z2202		
1.9.8.3	b1506	b1506			
1.3.24.3	b1509	b1509	Z2196	ECs2116	
1.11.24.3	b1513	b1513	Z2192	ECs2120	
1.5.10.3	b1516	b1516	Z2189	ECs2123	
1.9.10.3	b1518	b1518	Z2187	ECs2125	
1.11.10.3	b1519	b1519	Z2186	ECs2126	
1.1.26.3	b1520	b1520	Z2185	ECs2127	
1.5.26.3	b1522	b1522	Z2182	ECs2129	
1.7.26.3	b1523	b1523	Z2180	ECs2130	
1.11.26.3	b1525	b1525	Z2178	ECs2132	
1.3.12.3	b1527	b1527	Z2176	ECs2134	
1.7.14.3	b1541	b1541	Z2156	ECs2150	
1.11.14.3	b1543	b1543	Z2153	ECs2152	
1.3.30.3	b1545	b1545			
1.7.30.3	b1547	b1547			
1.3.31.3	b1550	b1550			
1.5.31.3	b1551	b1551			
1.9.31.3	b1553	b1553			
1.11.31.3	b1554	b1554			
1.1.47.3	b1555	b1555			
1.3.47.3	b1556	b1556			
1.9.47.3	b1559	b1559			
1.11.47.3	b1560	b1560			
1.9.33.3	b1565	b1565			
1.1.49.3	b1567	b1567			
1.3.49.3	b1568	b1568			
1.9.35.3	b1578	b1578			
1.11.35.3	b1579	b1579	Z2568		
1.5.2.4	b1582	b1582	Z2569	ECs2288	
1.7.2.4	b1583	b1583	Z2570	ECs2289	
1.1.37.3	b1586	b1586	Z2573	ECs2292	
1.3.37.3	b1587	b1587	Z2575	ECs2293	
1.5.37.3	b1588	b1588	Z2576	ECs2294	
1.7.37.3	b1589	b1589	Z2577	ECs2295	
1.9.37.3	b1590	b1590	Z2579	ECs2296	
1.11.37.3	b1591	b1591	Z2581	ECs2297	
1.1.4.4	b1592	b1592	Z2583	ECs2298	
1.3.4.4	b1593	b1593	Z2585	ECs2299	
1.1.39.3	b1598	b1598	Z2592		
1.3.39.3	b1599	b1599	Z2593	ECs2305	
1.5.39.3	b1600	b1600	Z2594	ECs2306	
1.7.39.3	b1601	b1601	Z2595	ECs2307	
1.1.6.4	b1604	b1604	Z2603	ECs2310	
1.3.6.4	b1605	b1605	Z2605	ECs2311	
1.5.43.3	b1624	b1624	Z2629	ECs2332	
1.7.43.3	b1625	b1625	Z2631	ECs2334	
1.9.43.3	b1626	b1626	Z2632	ECs2335	
1.11.43.3	b1627	b1627	Z2633	ECs2336	
1.1.10.4	b1628	b1628	Z2634	ECs2337	
1.3.10.4	b1629	b1629	Z2636	ECs2338	
1.7.10.4	b1631	b1631	Z2640	ECs2340	
1.1.12.4	b1640	b1640	Z2654	ECs2349	
1.7.12.4	b1643	b1643	Z2658	ECs2352	
1.9.12.4	b1644	b1644	Z2659	ECs2353	
1.11.12.4	b1645	b1645	Z2660	ECs2354	
1.6.31.3	b1647	b1647	Z2664	ECs2356	
1.8.31.3	b1648	b1648	Z2665	ECs2358	
1.10.31.3	b1649	b1649	Z2666	ECs2357	
1.2.33.3	b1657	b1657	Z2679	ECs2366	
1.4.49.3	b1664	b1664	Z2691	ECs2373	
1.6.49.3	b1667	b1667	Z2694	ECs2374	
1.8.49.3	b1668	b1668	Z2695	ECs2375	
1.10.49.3	b1669	b1669	Z2696	ECs2376	
1.2.35.3	b1671	b1671	Z2698	ECs2378	
1.4.35.3	b1672	b1672	Z2700	ECs2379	
1.6.35.3	b1673	b1673	Z2701	ECs2380	
1.8.35.3	b1674	b1674	Z2702	ECs2381	
1.10.35.3	b1675	b1675	Z2703	ECs2382	
1.8.2.4	b1680	b1680	Z2708	ECs2387	
1.6.37.3	b1685	b1685	Z2713	ECs2392	
1.8.37.3	b1686	b1686	Z2714	ECs2393	
1.12.37.3	b1688	b1688	Z2716	ECs2395	
1.2.4.4	b1689	b1689	Z2717	ECs2396	
1.4.4.4	b1690	b1690	Z2718	ECs2397	
1.6.4.4	b1691	b1691	Z2719	ECs2398	
1.2.39.3	b1695	b1695	Z2723	ECs2402	
1.4.39.3	b1696	b1696	Z2724	ECs2403	
1.12.6.4	b1706	b1706	Z2735	ECs2413	
1.2.41.3	b1707	b1707	Z2736	ECs2414	
1.4.43.3	b1720	b1720	Z2749	ECs2427	
1.6.43.3	b1721	b1721			
1.8.43.3	b1722	b1722	Z2751	ECs2428	
1.12.43.3	b1724	b1724	Z2753	ECs2430	
1.2.10.4	b1725	b1725	Z2754	ECs2431	
1.4.10.4	b1726	b1726	Z2755	ECs2432	
1.8.10.4	b1728	b1728	Z2757	ECs2434	
1.10.10.4	b1729	b1729	Z2758	ECs2435	
1.12.10.4	b1730	b1730	Z2759	ECs2436	
1.2.45.3	b1731	b1731	Z2760	ECs2437	
1.10.12.4	b1741	b1741	Z2771	ECs2447	
1.12.12.4	b1742	b1742	Z2774	ECs2448	
1.8.32.3	b1745	b1745	Z2777	ECs2451	
1.10.32.3	b1746	b1746	Z2778	ECs2452	
1.12.32.3	b1747	b1747	Z2779	ECs2453	
1.2.34.3	b1754	b1754	Z2786	ECs2460	
1.4.34.3	b1755	b1755	Z2787	ECs2461	
1.6.34.3	b1756	b1756	Z2788	ECs2462	
1.8.34.3	b1757	b1757	Z2789	ECs2463	
1.10.34.3	b1758	b1758	Z2790	ECs2464	
1.12.34.3	b1759	b1759	Z2791	ECs2465	
1.2.1.4	b1760	b1760	Z2792	ECs2466	
1.6.1.4	b1762	b1762	Z2795	ECs2468	
1.10.36.3	b1770	b1770	Z2808	ECs2479	
1.12.36.3	b1771	b1771	Z2809	ECs2480	
1.2.3.4	b1772	b1772	Z2810	ECs2481	
1.4.3.4	b1773	b1773	Z2811	ECs2482	
1.8.3.4	b1775	b1775	Z2813	ECs2484	
1.10.3.4	b1776	b1776	Z2815	ECs2485	
1.12.3.4	b1777	b1777	Z2816	ECs2486	
1.8.38.3	b1781	b1781	Z2821	ECs2490	
1.10.5.4	b1788	b1788			
1.10.42.3	b1806	b1806	Z2849	ECs2515	
1.2.9.4	b1808	b1808	Z2851	ECs2517	
1.4.9.4	b1809	b1809	Z2852	ECs2518	
1.6.9.4	b1810	b1810	Z2853	ECs2519	
1.8.9.4	b1811	b1811	Z2854	ECs2520	
1.4.44.3	b1815	b1815	Z2858	ECs2524	
1.2.11.4	b1820	b1820	Z2863	ECs2530	
1.4.11.4	b1821	b1821	Z2864	ECs2531	
1.10.11.4	b1824	b1824	Z2869	ECs2534	
1.12.11.4	b1825	b1825	Z2871	ECs2535	
1.2.46.3	b1826	b1826	Z2872	ECs2536	
1.4.46.3	b1827	b1827	Z2874	ECs2537	
1.6.46.3	b1828	b1828	Z2875	ECs2538	
1.2.13.4	b1832	b1832	Z2879	ECs2542	
1.4.13.4	b1833	b1833	Z2880	ECs2543	
1.6.13.4	b1834	b1834	Z2881	ECs2544	
1.10.13.4	b1836	b1836	Z2883	ECs2546	
1.12.13.4	b1837	b1837	Z2884	ECs2547	
1.5.32.3	b1839	b1839	Z2887	ECs2549	
1.7.32.3	b1840	b1840	Z2888	ECs2550	
1.9.32.3	b1841	b1841	Z2889	ECs2551	
1.1.48.3	b1843	b1843	Z2893	ECs2553	
1.3.48.3	b1844	b1844	Z2894	ECs2554	
1.1.9.4	b1903	b1903	Z2958	ECs2611	
1.3.9.4	b1904	b1904	Z2959	ECs2612	
1.7.13.4	b1933	b1933			
1.3.14.4	b1936	b1936			
1.1.32.4	b1953	b1953	Z3043	ECs2692	
1.3.32.4	b1955	b1955	Z3045	ECs2693	
1.5.32.4	b1956	b1956	Z3047	ECs2694	
1.7.32.4	b1957	b1957	Z3048	ECs2695	
1.7.18.4	b1963	b1963	Z3056	ECs2701	
1.9.18.4	b1964	b1964	Z3057		
1.11.18.4	b1965	b1965			
1.1.34.4	b1966	b1966			
1.9.34.4	b1970	b1970	Z3062	ECs2708	
1.11.34.4	b1971	b1971	Z3063	ECs2709	
1.1.20.4	b1972	b1972	Z3064	ECs2710	
1.3.20.4	b1973	b1973	Z3065	ECs2711	
1.7.20.4	b1976	b1976	Z3132	ECs2774	
1.9.20.4	b1978	b1978	Z3135	ECs2775	
1.11.20.4	b1979	b1979	Z3137	ECs2777	
1.1.36.4	b1980	b1980			
1.7.36.4	b1983	b1983	Z3140	ECs2780	
1.1.38.4	b1995	b1995	Z3159	ECs2792	
1.7.38.4	b1998	b1998			
1.1.24.4	b2001	b2001			
1.7.26.4	b2016	b2016	Z3178	ECs2818	
1.2.18.4	b2060	b2060	Z3224	ECs2865	
1.10.34.4	b2070	b2070	Z3239	ECs2879	
1.12.34.4	b2071	b2071			
1.2.20.4	b2072	b2072	Z3240	ECs2880	
1.4.20.4	b2073	b2073	Z3241	ECs2881	
1.6.20.4	b2074	b2074	Z3243	ECs2882	
1.6.36.4	b2080	b2080	Z3249	ECs2888	
1.12.36.4	b2083	b2083			
1.2.22.4	b2084	b2084			
1.4.22.4	b2085	b2085	Z3251	ECs2891	
1.6.22.4	b2086	b2086	Z3252	ECs2892	
1.10.22.4	b2088	b2088			
1.4.24.4	b2097	b2097	Z3260	ECs2900	
1.8.24.4	b2099	b2099	Z3262	ECs2902	
1.10.24.4	b2100	b2100	Z3263	ECs2903	
1.12.40.4	b2107	b2107	Z3275	ECs2913	
1.6.17.4	b2145	b2145	Z3400	ECs3037	
1.8.17.4	b2146	b2146	Z3401	ECs3038	
